0,1.50
125,1.49
250,1.49
375,1.49
500,1.49
625,1.49
750,1.48
875,1.48
1000,1.48
1125,1.48
1250,1.48
1375,1.48
1500,1.47
1625,1.48
1750,1.47
1875,1.47
2000,1.47
2125,1.46
2250,1.46
2375,1.46
2500,1.46
2625,1.45
2750,1.45
2875,1.45
3000,1.44
3125,1.44
3250,1.44
3375,1.44
3500,1.44
3625,1.43
3750,1.43
3875,1.43
4000,1.43
4125,1.42
4250,1.42
4375,1.42
4500,1.41
4625,1.41
4750,1.41
4875,1.40
5000,1.40
5125,1.40
5250,1.40
5375,1.40
5500,1.40
5625,1.39
5750,1.40
5875,1.39
6000,1.39
6125,1.39
6250,1.39
6375,1.38
6500,1.38
6625,1.37
6750,1.37
6875,1.37
7000,1.37
7125,1.37
7250,1.37
7375,1.37
7500,1.36
7625,1.36
7750,1.36
7875,1.36
8000,1.36
8125,1.36
8250,1.35
8375,1.35
8500,1.35
8625,1.34
8750,1.34
8875,1.34
9000,1.34
9125,1.34
9250,1.34
9375,1.34
9500,1.34
9625,1.34
9750,1.33
9875,1.33
10000,1.33
10125,1.33
10250,1.33
10375,1.33
10500,1.33
10625,1.33
10750,1.32
10875,1.32
11000,1.32
11125,1.32
11250,1.32
11375,1.32
11500,1.32
11625,1.32
11750,1.32
11875,1.32
12000,1.33
12125,1.33
12250,1.33
12375,1.34
12500,1.34
12625,1.34
12750,1.35
12875,1.35
13000,1.35
13125,1.36
13250,1.37
13375,1.37
13500,1.37
13625,1.37
13750,1.38
13875,1.38
14000,1.38
14125,1.39
14250,1.39
14375,1.39
14500,1.39
14625,1.40
14750,1.40
14875,1.40
15000,1.40
15125,1.40
15250,1.41
15375,1.41
15500,1.41
15625,1.42
15750,1.42
15875,1.42
16000,1.42
16125,1.42
16250,1.42
16375,1.43
16500,1.43
16625,1.44
16750,1.44
16875,1.44
17000,1.44
17125,1.44
17250,1.44
17375,1.45
17500,1.45
17625,1.45
17750,1.46
17875,1.46
18000,1.46
18125,1.46
18250,1.46
18375,1.46
18500,1.46
18625,1.46
18750,1.46
18875,1.46
19000,1.46
19125,1.46
19250,1.46
19375,1.46
19500,1.46
19625,1.46
19750,1.46
19875,1.46
20000,1.46
20125,1.46
20250,1.46
20375,1.46
20500,1.46
20625,1.46
20750,1.46
20875,1.46
21000,1.45
21125,1.45
21250,1.45
21375,1.45
21500,1.45
21625,1.44
21750,1.44
21875,1.44
22000,1.44
22125,1.44
22250,1.44
22375,1.44
22500,1.43
22625,1.43
22750,1.42
22875,1.42
23000,1.42
23125,1.42
23250,1.41
23375,1.41
23500,1.41
23625,1.40
23750,1.40
23875,1.40
24000,1.40
24125,1.40
24250,1.39
24375,1.39
24500,1.39
24625,1.39
24750,1.38
24875,1.38
25000,1.38
25125,1.37
25250,1.37
25375,1.37
25500,1.37
25625,1.37
25750,1.37
25875,1.37
26000,1.36
26125,1.36
26250,1.36
26375,1.36
26500,1.36
26625,1.35
26750,1.35
26875,1.34
27000,1.34
27125,1.34
27250,1.34
27375,1.33
27500,1.33
27625,1.33
27750,1.33
27875,1.32
28000,1.32
28125,1.32
28250,1.32
28375,1.32
28500,1.32
28625,1.32
28750,1.32
28875,1.32
29000,1.32
29125,1.32
29250,1.31
29375,1.31
29500,1.31
29625,1.31
29750,1.31
29875,1.31
30000,1.31
30125,1.31
30250,1.31
30375,1.31
30500,1.30
30625,1.30
30750,1.30
30875,1.30
31000,1.30
31125,1.30
31250,1.30
31375,1.30
31500,1.30
31625,1.30
31750,1.30
31875,1.30
32000,1.31
32125,1.30
32250,1.31
32375,1.31
32500,1.31
32625,1.31
32750,1.32
32875,1.32
33000,1.32
33125,1.32
33250,1.33
33375,1.33
33500,1.34
33625,1.34
33750,1.34
33875,1.35
34000,1.35
34125,1.36
34250,1.36
34375,1.36
34500,1.37
34625,1.37
34750,1.37
34875,1.37
35000,1.37
35125,1.37
35250,1.38
35375,1.38
35500,1.39
35625,1.39
35750,1.39
35875,1.39
36000,1.39
36125,1.40
36250,1.40
36375,1.40
36500,1.40
36625,1.40
36750,1.41
36875,1.41
37000,1.42
37125,1.42
37250,1.42
37375,1.42
37500,1.42
37625,1.42
37750,1.43
37875,1.43
38000,1.43
38125,1.44
38250,1.43
38375,1.44
38500,1.44
38625,1.44
38750,1.44
38875,1.44
39000,1.44
39125,1.44
39250,1.44
39375,1.44
39500,1.44
39625,1.44
39750,1.44
39875,1.44
40000,1.44
40125,1.44
40250,1.44
40375,1.44
40500,1.44
40625,1.44
40750,1.44
40875,1.44
41000,1.44
41125,1.44
41250,1.43
41375,1.43
41500,1.43
41625,1.43
41750,1.42
41875,1.42
42000,1.42
42125,1.42
42250,1.42
42375,1.41
42500,1.41
42625,1.41
42750,1.40
42875,1.40
43000,1.40
43125,1.40
43250,1.40
43375,1.39
43500,1.39
43625,1.39
43750,1.39
43875,1.38
44000,1.38
44125,1.38
44250,1.37
44375,1.37
44500,1.37
44625,1.37
44750,1.37
44875,1.36
45000,1.36
45125,1.36
45250,1.36
45375,1.35
45500,1.35
45625,1.35
45750,1.34
45875,1.34
46000,1.34
46125,1.34
46250,1.34
46375,1.34
46500,1.33
46625,1.33
46750,1.32
46875,1.32
47000,1.32
47125,1.32
47250,1.32
47375,1.32
47500,1.32
47625,1.31
47750,1.31
47875,1.31
48000,1.31
48125,1.31
48250,1.31
48375,1.30
48500,1.30
48625,1.30
48750,1.30
48875,1.30
49000,1.29
49125,1.29
49250,1.29
49375,1.29
49500,1.29
49625,1.28
49750,1.28
